calle,calle filtrada,calle filtrada2,fiabilidad,gender,wikipedia
Camino al Paso del Andaluz,al Paso Andaluz,,-0.48,Male,
Antiguo Camino Colman,Antiguo  Colman,,-0.5,Male,
Camino Benito Berges,Benito Berges,,-0.5,Male,
Avelino Miranda,elino Miranda,,0.99,Male,
Eulalio Pérez,Eulalio Pérez,,-0.5,Male,
Avenida General San Martín,General San Martín,,-0.44,Male,
Manuel Basilio Bustamante,Manuel Basilio Bustamante,,-0.5,Male,
Francisco Eduardo Bonilla,Francisco Eduardo Bonilla,,-0.5,Male,
Juan P Duarte,Juan P Duarte,,-0.5,Male,
Ángel Salvador Adami,Ángel Salvador Adami,,-1.0,Male,
Camino Edison,Edison,,-0.99,Male,
Pedro de Valdivia,Pedro de Valdivia,,-0.5,Male,
Rufino Blanco Fombona,Rufino Blanco Fombona,,-0.5,Male,
Mario García Cames,Mario García Cames,,-0.5,Male,
Camino Carlos Linneo,Carlos Linneo,,-0.99,Male,
Camino al Puente Roto,al Puente Roto,,-0.48,Male,
Doctor Agustín Musso,Doctor Agustín Musso,,-0.5,Male,
General Máximo Tajes,General Máximo Tajes,,-0.5,Male,
Raúl Montero Bustamante,Raúl Montero Bustamante,,-0.5,Male,
Gustavo Nicolich,Gustavo Nicolich,,-0.5,Male,
Del Aeropuerto,Del Aeropuerto,,-0.77,Male,
Presidente Tomás Berreta,Presidente Tomás Berreta,,-0.5,Male,
Benavides,Benavides,,-0.5,Male,
García Lagos,García Lagos,,-0.37,Male,
Antonio María Fernandez,Antonio María Fernandez,,-0.5,Male,
Avenida Carlos Racine,Carlos Racine,,-0.99,Male,
Avenida Wilson Ferreira Aldunate,Wilson Ferreira Aldunate,,-0.99,Male,
