calle,calle filtrada,calle filtrada2,fiabilidad,gender,wikipedia
Calle José E. Quiroga,José E. Quiroga,,-0.3,Male,
Calle Adrian Trigo Claros,Adrian Trigo Claros,,-0.47,Male,
Calle Edgar Adrian,Edgar Adrian,,-1.0,Male,
Calle Antenor de la Via García,Antenor Via García,,-0.49,Male,
Calle Doctor Eduardo Saracho,Doctor Eduardo Saracho,,-0.5,Male,
Calle Robert Koch,Robert Koch,,-0.99,Male,
Calle Benjamín Maldonado,Benjamín Maldonado,,-1.0,Male,
Calle José Reyes Morales,José Reyes Morales,,-0.62,Male,
Calle Sir Ronald Ross,Sir Ronald Ross,,-0.5,Male,
Calle Manuel Villarroel Arnez,Manuel Villarroel Arnez,,-0.5,Male,
Calle Santiago Pi Suñer,Santiago Pi Suñer,,-1.0,Male,
Calle Walter Galindo Quiroga,Walter Galindo Quiroga,,-0.49,Male,
Calle Zenón Gamboa Antezana,Zenón Gamboa Antezana,,-0.3,Male,
Calle Atilio Molina Pantoja,Atilio Molina Pantoja,,-0.46,Male,
Calle Charles Nicolle,Charles Nicolle,,-0.99,Male,
Calle Hermann Joseph Muller,Hermann Joseph Muller,,-0.99,Male,
Calle Raúl Maldonado Soliz,Raúl Maldonado Soliz,,-0.5,Male,
Avenida Amalia Villa de la Tapia,Amalia Villa Tapia,,1.0,Female,https://es.wikipedia.org/wiki/Amalia_Villa_de_la_Tapia
Calle Gabriel Arze Quirga,Gabriel Arze Quirga,,-0.49,Male,
Calle Cesar Adriazola Rivera,Cesar Adriazola Rivera,,-0.5,Male,
Calle Carlos Aranibar Orozco,Carlos Aranibar Orozco,,-0.99,Male,
Calle Ivan Pavlov,Ivan Pavlov,,-1.0,Male,
Calle Joaquín Saucedo Laredo,Joaquín Saucedo Laredo,,-1.0,Male,
Calle Pedro Barrio Nuevo,Pedro Barrio Nuevo,,-0.5,Male,
Avenida Juan Pablo II,Juan Pablo II,,-0.99,Male,
Pasaje Alejandro Ayala G.,Alejandro Ayala G.,,-1.0,Male,
Calle Alejandro Ayala G.,Alejandro Ayala G.,,-1.0,Male,
Calle Raúl Aranibar Orozco,Raúl Aranibar Orozco,,-0.5,Male,
Calle Isaac Newton,Isaac Newton,,-1.0,Male,
Calle Thomas Alva Edison,Thomas Alva Edison,,-0.99,Male,
Calle Benjamín Franklin,Benjamín Franklin,,-0.5,Male,
Calle Timoteo Mariaca,Timoteo Mariaca,,-0.49,Male,
Calle E. Halley,E. Halley,,0.29,Male,
